Date,Clicks,Views,Click frequency,Placement
2025-10-21,91,6671,1.36%,10.19
2025-10-20,87,6870,1.27%,9.37
2025-10-19,82,6173,1.33%,8.89
2025-10-18,73,6933,1.05%,11.8
2025-10-17,96,7370,1.3%,15.25
2025-10-16,123,7035,1.75%,10.04
2025-10-15,98,6763,1.45%,9.65
2025-10-14,117,6879,1.7%,10.55
2025-10-13,130,7143,1.82%,10.5
2025-10-12,94,6094,1.54%,11.92
2025-10-11,88,5786,1.52%,11.42
2025-10-10,110,6222,1.77%,10.94
2025-10-09,109,6751,1.61%,10.18
2025-10-08,110,7365,1.49%,9.57
2025-10-07,125,7539,1.66%,11.06
2025-10-06,107,6783,1.58%,11.78
2025-10-05,88,6406,1.37%,12.48
2025-10-04,92,6882,1.34%,10.16
2025-10-03,79,8171,0.97%,9.24
2025-10-02,69,6332,1.09%,9.92
2025-10-01,81,6171,1.31%,11.24
2025-09-30,70,5375,1.3%,10.45
2025-09-29,78,5412,1.44%,10.61
2025-09-28,74,4926,1.5%,10.67
2025-09-27,67,4723,1.42%,10.33
2025-09-26,69,4896,1.41%,10.21
2025-09-25,86,5128,1.68%,8.91
2025-09-24,87,5655,1.54%,9.83
2025-09-23,98,5916,1.66%,8.89
2025-09-22,86,5440,1.58%,8.17
2025-09-21,83,5018,1.65%,8.56
2025-09-20,63,4505,1.4%,8.56
2025-09-19,63,4693,1.34%,8.51
2025-09-18,98,4740,2.07%,8.38
2025-09-17,103,4820,2.14%,8.11
2025-09-16,66,4916,1.34%,8.16
2025-09-15,79,4778,1.65%,7.99
2025-09-14,67,4663,1.44%,08.03
2025-09-13,44,4393,1%,7.84
2025-09-12,66,4931,1.34%,11.43
2025-09-11,63,5896,1.07%,13.74
2025-09-10,58,5675,1.02%,15.86
2025-09-09,72,5914,1.22%,19.43
2025-09-08,66,5974,1.1%,20.26
2025-09-07,72,5646,1.28%,21.76
2025-09-06,51,5075,1%,19.68
2025-09-05,61,5617,1.09%,19.79
2025-09-04,67,5721,1.17%,20.21
2025-09-03,56,5488,1.02%,21.7
2025-09-02,54,5217,1.04%,20.93
2025-09-01,67,6530,1.03%,22.34
2025-08-31,56,4972,1.13%,20.39
2025-08-30,36,4845,0.74%,20.12
2025-08-29,44,4822,0.91%,20.47
2025-08-28,67,5095,1.32%,20.63
2025-08-27,50,4855,1.03%,20.84
2025-08-26,48,4724,1.02%,21.08
2025-08-25,48,4408,1.09%,20
2025-08-24,66,4279,1.54%,21.67
2025-08-23,30,4089,0.73%,24.09
2025-08-22,40,5234,0.76%,22.79
2025-08-21,51,4539,1.12%,22.66
2025-08-20,50,4252,1.18%,20.4
2025-08-19,61,4439,1.37%,21.29
2025-08-18,53,4085,1.3%,20.17
2025-08-17,40,3770,1.06%,19.91
2025-08-16,40,3571,1.12%,21.88
2025-08-15,39,3662,1.06%,22.07
2025-08-14,45,4188,1.07%,24.6
2025-08-13,47,3813,1.23%,20.04
2025-08-12,70,4829,1.45%,23.11
2025-08-11,54,3974,1.36%,18.69
2025-08-10,41,3568,1.15%,18.86
2025-08-09,51,3558,1.43%,21.09
2025-08-08,42,3638,1.15%,18.24
2025-08-07,60,3953,1.52%,19.2
2025-08-06,61,3753,1.63%,19.71
2025-08-05,60,3637,1.65%,20.59
2025-08-04,49,3625,1.35%,21.03
2025-08-03,46,3216,1.43%,18.44
2025-08-02,41,2863,1.43%,16.81
2025-08-01,54,3458,1.56%,18.7
2025-07-31,54,3015,1.79%,12.44
2025-07-30,38,3365,1.13%,14.95
2025-07-29,40,3070,1.3%,15.61
2025-07-28,67,3192,2.1%,14.26
2025-07-27,72,2981,2.42%,15.12
2025-07-26,42,2831,1.48%,15.88
2025-07-25,41,2924,1.4%,15.41
2025-07-24,31,3075,1.01%,15.42
2025-07-23,27,2970,0.91%,15.5
2025-07-22,29,3341,0.87%,16.97
2025-07-21,34,2936,1.16%,11.78
2025-07-20,40,2809,1.42%,12.03
2025-07-19,43,2740,1.57%,12.34
2025-07-18,46,2738,1.68%,11.27
2025-07-17,41,2712,1.51%,10.96
2025-07-16,46,2712,1.7%,11.35
2025-07-15,24,2784,0.86%,11.66
2025-07-14,51,2907,1.75%,10.55
2025-07-13,63,2941,2.14%,11.63
2025-07-12,32,3135,1.02%,16.22
2025-07-11,29,3089,0.94%,14.54
2025-07-10,30,2587,1.16%,11.35
2025-07-09,38,2896,1.31%,13.51
2025-07-08,41,2555,1.6%,10.64
2025-07-07,60,2957,2.03%,10.42
2025-07-06,44,2577,1.71%,10.2
2025-07-05,42,2513,1.67%,9.91
2025-07-04,57,2579,2.21%,10.07
2025-07-03,28,2587,1.08%,10.28
2025-07-02,33,2527,1.31%,11.12
2025-07-01,32,2552,1.25%,11.62
2025-06-30,38,2668,1.42%,11.93
2025-06-29,30,2252,1.33%,11.9
2025-06-28,36,2120,1.7%,11.01
2025-06-27,27,2330,1.16%,11.26
2025-06-26,29,2370,1.22%,10.68
2025-06-25,42,2449,1.71%,10.15
2025-06-24,40,2595,1.54%,10.11
2025-06-23,38,2423,1.57%,9.88
2025-06-22,33,2245,1.47%,9.67
2025-06-21,42,2430,1.73%,12.37
2025-06-20,32,2099,1.52%,10.25
2025-06-19,45,2380,1.89%,10.07
2025-06-18,43,2301,1.87%,10.24
2025-06-17,38,2407,1.58%,10.72
2025-06-16,32,2502,1.28%,10.18
2025-06-15,44,2254,1.95%,10.86
2025-06-14,20,2063,0.97%,11.41
2025-06-13,23,2143,1.07%,10.6
2025-06-12,26,2946,0.88%,10.06
2025-06-11,37,2451,1.51%,11.17
2025-06-10,33,3445,0.96%,16.1
2025-06-09,32,2366,1.35%,11.52
2025-06-08,26,2031,1.28%,12.91
2025-06-07,21,1809,1.16%,12.45
2025-06-06,22,2006,1.1%,13.91
2025-06-05,19,1993,0.95%,11.73
2025-06-04,26,2105,1.24%,12.13
2025-06-03,24,2146,1.12%,11.43
2025-06-02,22,2258,0.97%,12.37
2025-06-01,27,2040,1.32%,13.62
2025-05-31,23,1923,1.2%,13.13
2025-05-30,23,2070,1.11%,12.13
2025-05-29,21,1870,1.12%,12.46
2025-05-28,24,1740,1.38%,14.18
2025-05-27,26,1925,1.35%,12.49
2025-05-26,31,1983,1.56%,11.85
2025-05-25,27,1720,1.57%,13.14
2025-05-24,14,1478,0.95%,14.2
2025-05-23,22,1757,1.25%,13.03
2025-05-22,24,2089,1.15%,15.34
2025-05-21,24,1761,1.36%,13.43
2025-05-20,35,1762,1.99%,12.19
2025-05-19,37,1863,1.99%,12.98
2025-05-18,19,1423,1.34%,12.53
2025-05-17,12,1244,0.96%,21.39
2025-05-16,19,1219,1.56%,14.3
2025-05-15,24,1545,1.55%,17.26
2025-05-14,19,1327,1.43%,14.31
2025-05-13,26,1262,2.06%,15.03
2025-05-12,17,1253,1.36%,14.92
2025-05-11,17,1086,1.57%,16.03
2025-05-10,11,987,1.11%,15.12
2025-05-09,9,1047,0.86%,14.64
2025-05-08,11,1154,0.95%,14.4
2025-05-07,9,1276,0.71%,16.99
2025-05-06,12,1299,0.92%,14.4
2025-05-05,13,1442,0.9%,13.78
2025-05-04,6,895,0.67%,16.7
2025-05-03,9,858,1.05%,18.32
2025-05-02,11,1021,1.08%,16.12
2025-05-01,12,963,1.25%,17.11
2025-04-30,11,951,1.16%,17.29
2025-04-29,10,962,1.04%,15.82
2025-04-28,11,1008,1.09%,15.5
2025-04-27,17,762,2.23%,18.13
2025-04-26,8,641,1.25%,19.55
2025-04-25,12,683,1.76%,17.06
2025-04-24,9,849,1.06%,18.56
2025-04-23,5,984,0.51%,21.1
2025-04-22,4,795,0.5%,17.3
2025-04-21,6,599,1%,19.58
2025-04-20,7,570,1.23%,20.29
2025-04-19,4,533,0.75%,22.11
2025-04-18,5,406,1.23%,24.84
2025-04-17,6,438,1.37%,24.79
2025-04-16,2,329,0.61%,23.14
2025-04-15,3,383,0.78%,23.89
2025-04-14,1,400,0.25%,26.55
2025-04-13,1,376,0.27%,29.81
2025-04-12,3,381,0.79%,34.49
2025-04-11,2,968,0.21%,35.62
2025-04-10,2,503,0.4%,22.51
2025-04-09,0,447,0%,23.9
2025-04-08,3,481,0.62%,20.5
2025-04-07,2,488,0.41%,21.88
2025-04-06,1,360,0.28%,25.2
2025-04-05,2,295,0.68%,32.75
2025-04-04,0,367,0%,25.86
2025-04-03,1,409,0.24%,22.24
2025-04-02,2,409,0.49%,23.55
2025-04-01,1,416,0.24%,22.05
2025-03-31,1,424,0.24%,20.57
2025-03-30,0,235,0%,28.13
2025-03-29,0,233,0%,26.3
2025-03-28,0,314,0%,21.58
2025-03-27,1,347,0.29%,20.13
2025-03-26,2,403,0.5%,20.86
2025-03-25,1,398,0.25%,21.29
2025-03-24,1,535,0.19%,28.21
2025-03-23,2,242,0.83%,31.62
2025-03-22,1,188,0.53%,39.79
2025-03-21,3,315,0.95%,23.39
2025-03-20,3,417,0.72%,27
2025-03-19,1,351,0.28%,23.67
2025-03-18,1,337,0.3%,21.24
2025-03-17,1,441,0.23%,20.48
2025-03-16,0,250,0%,30.14
2025-03-15,2,223,0.9%,29.72
2025-03-14,1,376,0.27%,21.81
2025-03-13,1,442,0.23%,22.21
2025-03-12,1,690,0.14%,31.19
2025-03-11,7,825,0.85%,32.69
2025-03-10,3,507,0.59%,20.51
2025-03-09,0,273,0%,31.71
2025-03-08,0,249,0%,36.08
2025-03-07,0,296,0%,25.72
2025-03-06,3,379,0.79%,19.75
2025-03-05,2,424,0.47%,22.06
2025-03-04,0,356,0%,21.12
2025-03-03,1,424,0.24%,20.91
2025-03-02,0,265,0%,29.78
2025-03-01,0,185,0%,37.17
2025-02-28,0,202,0%,26.69
2025-02-27,1,280,0.36%,25.22
2025-02-26,0,258,0%,27.95
2025-02-25,1,263,0.38%,30.97
2025-02-24,0,288,0%,27.76
2025-02-23,0,182,0%,37.01
2025-02-22,1,288,0.35%,44.34
2025-02-21,0,202,0%,34.73
2025-02-20,0,199,0%,32.15
2025-02-19,1,275,0.36%,30.38
2025-02-18,0,255,0%,29.87
2025-02-17,1,240,0.42%,32.27
2025-02-16,0,208,0%,41.07
2025-02-15,0,169,0%,44.27
2025-02-14,0,346,0%,38.92
2025-02-13,1,248,0.4%,22.24
2025-02-12,1,285,0.35%,30.34
2025-02-11,0,279,0%,21.76
2025-02-10,1,239,0.42%,24.09
2025-02-09,0,106,0%,37.81
2025-02-08,0,74,0%,28.54
2025-02-07,2,108,1.85%,20.26
2025-02-06,1,166,0.6%,14.55
2025-02-05,1,128,0.78%,12.21
2025-02-04,0,11,0%,5
2025-02-03,0,0,0%,0